Timestamp,Are you currently a member at the club?,Are you currently on the waiting list for membership at the club?,How long have you been a member at the club?,"On average, how often do you participate in instructional programs (lessons, clinics, etc.) at the club?",Please describe your level of satisfaction with the following aspects of instruction at the club. [Overall Instructor Quality],Please describe your level of satisfaction with the following aspects of instruction at the club. [Instructor Teaching Ability],Please describe your level of satisfaction with the following aspects of instruction at the club. [Pricing],"Please describe your level of satisfaction with the following aspects of instruction at the club. [Activities (games, drills, etc.)]","Please describe your level of satisfaction with the following aspects of instruction at the club. [Facilities (courts, nets, etc.)]","Please describe your level of satisfaction with the following aspects of instruction at the club. [Equipment (balls, mowers, etc.)]",How often do you visit the Pro Shop at the club?,Please describe your level of satisfaction with the following aspects of the Pro Shop at the club. [Hours of operation],Please describe your level of satisfaction with the following aspects of the Pro Shop at the club. [Merchandise selection],Please describe your level of satisfaction with the following aspects of the Pro Shop at the club. [Stringing services],Please describe your level of satisfaction with the following aspects of the Pro Shop at the club. [Helpfulness of staff],Please describe your level of satisfaction with the following aspects of the Pro Shop at the club. [Prices]
3/3/2022 17:09:39,Yes,,More than 10 years,1-3 times per week,Highly Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied,Neutral,1-3 times per month,Slightly Satisfied,Neutral,Highly Satisfied,Slightly Satisfied,Highly Satisfied
3/3/2022 17:27:39,Yes,,1-5 years,Less than once per week,Neutral,Neutral,Slightly Satisfied,Neutral,Highly Satisfied,Neutral,More than 3 times per month,Slightly Dissatisfied,Highly Dissatisfied,,Slightly Satisfied,Neutral
3/3/2022 17:30:25,Yes,,More than 10 years,Less than once per week,Slightly Dissatisfied,Slightly Dissatisfied,Neutral,Neutral,Highly Satisfied,Neutral,1-3 times per month,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Neutral
3/3/2022 17:32:17,Yes,,5-10 years,1-3 times per week,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Less than once per month,Neutral,Slightly Dissatisfied,Highly Satisfied,Neutral,Neutral
3/3/2022 17:35:07,Yes,,More than 10 years,1-3 times per week,Neutral,Neutral,Slightly Dissatisfied,Slightly Satisfied,Slightly Dissatisfied,Highly Dissatisfied,Less than once per month,,Highly Dissatisfied,,,
3/3/2022 17:35:40,Yes,,More than 10 years,Less than once per week,Slightly Dissatisfied,Slightly Dissatisfied,Neutral,Highly Dissatisfied,Neutral,Highly Dissatisfied,Less than once per month,Neutral,Highly Dissatisfied,Highly Dissatisfied,Slightly Dissatisfied,Neutral
3/3/2022 17:41:11,Yes,,5-10 years,Less than once per week,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 17:42:34,Yes,,More than 10 years,Less than once per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,More than 3 times per month,Neutral,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 17:43:26,Yes,,More than 10 years,Less than once per week,Slightly Satisfied,Slightly Satisfied,Neutral,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Neutral,Slightly Satisfied,Neutral,Neutral,Slightly Satisfied
3/3/2022 17:47:22,Yes,,5-10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,,,,,
3/3/2022 17:52:07,Yes,,More than 10 years,Less than once per week,Neutral,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Satisfied,Slightly Satisfied,Less than once per month,Slightly Satisfied,Highly Satisfied,Slightly Dissatisfied,Slightly Satisfied,Neutral
3/3/2022 17:56:18,Yes,,More than 10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Slightly Dissatisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,1-3 times per month,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 18:11:38,Yes,,More than 10 years,Less than once per week,Neutral,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Slightly Satisfied,Less than once per month,Slightly Satisfied,Neutral,Neutral,Slightly Satisfied,Slightly Satisfied
3/3/2022 18:16:12,Yes,,5-10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Highly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 18:20:53,Yes,,More than 10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,1-3 times per month,Neutral,Slightly Dissatisfied,Highly Satisfied,Highly Satisfied,Neutral
3/3/2022 18:23:35,Yes,,More than 10 years,Less than once per week,Highly Dissatisfied,Highly Dissatisfied,Neutral,Highly Dissatisfied,Neutral,Slightly Dissatisfied,Less than once per month,Neutral,Slightly Dissatisfied,Highly Dissatisfied,Slightly Dissatisfied,Neutral
3/3/2022 18:26:30,Yes,,More than 10 years,More than 3 times per week,Highly Dissatisfied,Highly Dissatisfied,Neutral,Highly Dissatisfied,Highly Satisfied,Neutral,Less than once per month,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Satisfied,Slightly Satisfied
3/3/2022 18:31:02,Yes,,More than 10 years,1-3 times per week,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Less than once per month,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied
